正常蓄水位_m,年份,重复容量_万kW,装机容量_万kW,月份,运行方式,月初库容_m3s月,月初水位_m,月末库容_m3s月,月末水位_m,来水量_m3s,发电流量_m3s,平均出力_kW,弃水折算库容_m3s月,月发电量_kWh
108.0,1961,15.0,106.4353,10月,低于防破坏线-保证出力,321.7512,87.6,515.6762,94.3789,997.4,804.9389,276737.775,0.0,202018575.75
108.0,1961,15.0,106.4353,11月,低于防破坏线-保证出力,515.6762,94.3789,1156.472,108.0,2668.3,630.1591,276737.775,1397.3451,202018575.75
108.0,1961,15.0,106.4353,12月,优化区-枚举月末库容,1156.472,108.0,1156.472,108.0,926.7,926.7,447390.1587,0.0,326594815.8847
108.0,1961,15.0,106.4353,1月,优化区-枚举月末库容,1156.472,108.0,1156.472,108.0,919.7,919.7,444094.9023,0.0,324189278.6678
108.0,1961,15.0,106.4353,2月,优化区-枚举月末库容,1156.472,108.0,1156.472,108.0,558.7,558.7,272934.5038,0.0,199242187.7521
108.0,1961,15.0,106.4353,3月,优化区-枚举月末库容,1156.472,108.0,1089.0198,106.8075,1198.7,1266.1522,599527.0215,0.0,437654725.6834
108.0,1962,15.0,106.4353,4月,优化区-枚举月末库容,1089.0198,106.8075,760.1904,100.9941,2132.7,2461.5294,1062515.0536,0.0,775635989.1335
108.0,1962,15.0,106.4353,5月,汛限线附近-满发,760.1904,100.9941,1004.7046,105.3169,4852.0,2435.8781,1037004.2664,2169.2686,757013114.5024
108.0,1962,15.0,106.4353,6月,汛限线附近-满发,1004.7046,105.3169,1004.7046,105.3169,4776.0,2332.7804,1038161.793,2440.8805,757858108.8748
108.0,1962,15.0,106.4353,7月,汛限线附近-满发,1004.7046,105.3169,1004.7046,105.3169,2869.0,2332.7804,1038161.793,533.8805,757858108.8748
108.0,1962,15.0,106.4353,8月,低于防破坏线-保证出力,1004.7046,105.3169,1004.7046,105.3169,1711.7,580.4749,270220.5137,1128.8859,197260974.9768
108.0,1962,15.0,106.4353,9月,优化区-枚举月末库容,1004.7046,105.3169,321.7512,87.6,912.7,1595.6534,632785.9728,0.0,461933760.1282
108.0,1962,15.0,106.4353,10月,低于防破坏线-保证出力,321.7512,87.6,726.4643,100.3979,1149.7,744.3,276737.775,0.0,202018575.75
108.0,1962,15.0,106.4353,11月,低于防破坏线-保证出力,726.4643,100.3979,1156.472,108.0,1439.3,607.7144,276737.775,401.5779,202018575.75
108.0,1962,15.0,106.4353,12月,优化区-枚举月末库容,1156.472,108.0,1156.472,108.0,970.0,970.0,467745.1923,0.0,341453990.3846
108.0,1962,15.0,106.4353,1月,优化区-枚举月末库容,1156.472,108.0,1156.472,108.0,461.0,461.0,226157.7346,0.0,165095146.2692
108.0,1962,15.0,106.4353,2月,优化区-枚举月末库容,1156.472,108.0,1156.472,108.0,521.9,521.9,255341.3816,0.0,186399208.5512
108.0,1962,15.0,106.4353,3月,优化区-枚举月末库容,1156.472,108.0,1114.3144,107.2547,592.9,635.0576,307400.5666,0.0,224402413.5934
